round_id,settled_at,token_symbol,predicted_rank,actual_rank,rank_difference,is_breakeven,prediction_score,absolute_score,relative_score,predicted_final_value,risk_adjusted_score,total_games,wins,top3,win_rate,top3_rate,avg_rank,avg_value,value_stddev,change_5m,change_1h,change_4h,change_24h,h2h_score,h2h_data_available,hybrid_predicted_rank,hybrid_rank_difference,hybrid_final_score,hybrid_elo_prob,hybrid_mom_score,hybrid_confidence
ojoCap_1752294258000,"2025-07-12 04:25:08",TON,5,2,3,1,11.03,44.3,46.1,44.52,11.03,14,4,6,28.6,42.9,3.29,0.0039,0.0709,,,,,46.095238095238,1,2,0,59.3,51.3,75,50
ojoCap_1752294198000,"2025-07-12 04:24:08",AIXBT,1,1,0,1,83.91,78.2,62.24,76.28,83.91,17,8,13,47.1,76.5,2.18,0.0005,0.0012,,,,,62.238095238095,1,3,2,49.2,75.2,0,50
ojoCap_1752294198000,"2025-07-12 04:24:08",ADA,2,2,0,1,73.74,68.2,57.48,66.91,73.74,15,1,10,6.7,66.7,3.27,0.0001,0.0006,-0.54,-0.67,,6.17,57.47619047619,1,1,1,58.8,50.7,75,51
ojoCap_1752294198000,"2025-07-12 04:24:08",BNB,3,5,2,0,66.90,62.8,54.9,61.85,66.9,13,2,8,15.4,61.5,3,0,0.0002,,-2.22,,-1.6,54.904761904762,1,5,0,42.3,52.1,25,50
ojoCap_1752294198000,"2025-07-12 04:24:08",BONK,4,4,0,0,54.55,50.8,49.19,50.61,54.55,8,1,4,12.5,50,3.38,-0.0005,0.0012,-0.56,-2.04,,-7.86,49.190476190476,1,4,0,45,42.8,50,50
ojoCap_1752294198000,"2025-07-12 04:24:08",RENDER,5,3,2,1,44.89,40.7,44.38,41.14,44.89,18,0,7,0,38.9,3.5,-0.0002,0.0009,-0.28,-0.75,,-1.93,44.380952380952,1,2,1,53.7,29.3,100,50
ojoCap_1752294138000,"2025-07-12 04:23:08",AIXBT,1,1,0,1,82.26,76.6,61.48,74.79,82.26,16,7,12,43.8,75,2.25,0.0006,0.0012,,,,,61.47619047619,1,3,2,54.5,70.6,25,50
ojoCap_1752294138000,"2025-07-12 04:23:08",ETH,2,4,2,0,73.91,68.5,57.62,67.19,73.91,18,3,12,16.7,66.7,3,-0.0001,0.0004,,,,,57.619047619048,1,1,3,63,69.3,50,50.7
ojoCap_1752294138000,"2025-07-12 04:23:08",SUI,3,3,0,1,63.64,58.5,52.86,57.82,63.64,14,1,8,7.1,57.1,3.21,-0.0002,0.0007,0.39,0.05,,-1.23,52.857142857143,1,5,2,25.8,40,0,50
ojoCap_1752294138000,"2025-07-12 04:23:08",UNI,4,2,2,1,59.68,54.6,51,54.17,59.68,17,4,9,23.5,52.9,3.12,0,0.0012,-0.24,-0.72,,4.48,51,1,2,0,59.5,38,100,50
ojoCap_1752294138000,"2025-07-12 04:23:08",OM,5,5,0,0,53.41,48.8,48.24,48.73,53.41,17,2,8,11.8,47.1,3.12,-0.0002,0.0011,-0.34,0.02,,-1.54,48.238095238095,1,4,1,47,32.2,75,50
ojoCap_1752294078000,"2025-07-12 04:22:08",WIF,1,5,4,0,98.18,92,68.81,89.22,98.18,11,3,10,27.3,90.9,2.36,0.0003,0.0014,,,,0.07,68.809523809524,1,3,2,56.4,73.5,25,50
ojoCap_1752294078000,"2025-07-12 04:22:08",APT,2,2,0,1,66.69,61.5,54.29,60.63,66.69,15,1,9,6.7,60,3.2,0.0001,0.0007,,,,-0.02,54.285714285714,1,5,3,28.9,45.1,0,50
ojoCap_1752294078000,"2025-07-12 04:22:08",BONK,3,4,1,0,61.70,57.8,52.52,57.17,61.7,7,1,4,14.3,57.1,3.29,-0.0001,0.0008,-0.87,-1.97,,-7.79,52.52380952381,1,2,2,57,47.2,75,50
ojoCap_1752294078000,"2025-07-12 04:22:08",ARB,4,3,1,1,59.78,54.8,51.1,54.36,59.78,15,1,8,6.7,53.3,3.2,0.0002,0.0007,,,,-0.02,51.095238095238,1,4,1,43.4,40,50,50
ojoCap_1752294078000,"2025-07-12 04:22:08",AVAX,5,1,4,1,53.43,48.8,48.24,48.73,53.43,17,0,8,0,47.1,3.59,-0.0007,0.0025,-0.01,-0.73,,-0.36,48.238095238095,1,1,0,64.1,44.2,100,51.4
ojoCap_1752294018000,"2025-07-12 04:21:08",DOT,1,1,0,1,90.13,72.3,59.43,70.76,90.13,17,3,12,17.6,70.6,2.94,-0.0066,0.069,0.09,0.73,,2.58,59.428571428571,1,3,2,53.5,55.1,50,50
ojoCap_1752294018000,"2025-07-12 04:21:08",TRUMP,2,3,1,1,74.73,68.2,57.48,66.91,74.73,15,2,10,13.3,66.7,2.93,-0.0002,0.0009,,,,2.04,57.47619047619,1,5,2,36.8,56,0,50
ojoCap_1752294018000,"2025-07-12 04:21:08",UNI,3,5,2,0,63.05,57.9,52.57,57.26,63.05,16,4,9,25,56.3,3,0,0.0013,-0.33,-0.71,,4.35,52.571428571429,1,1,4,62.7,42.5,100,51.8
ojoCap_1752294018000,"2025-07-12 04:21:08",SHIB,4,4,0,0,60.38,55.6,51.48,55.11,60.38,11,1,6,9.1,54.5,3.36,0,0.0005,-0.35,-0.41,,-0.76,51.47619047619,1,4,0,44.2,27.2,75,50
ojoCap_1752294018000,"2025-07-12 04:21:08",WLD,5,2,3,1,53.68,61,54.05,60.17,53.68,10,5,6,50,60,2.7,0.0418,0.134,,,,,54.047619047619,1,2,0,53.8,69.2,25,50
ojoCap_1752293958000,"2025-07-12 04:20:08",IO,1,5,4,0,85.90,80.6,63.38,78.53,85.9,23,7,18,30.4,78.3,2.61,-0.0004,0.0012,-0.22,-0.8,,-3.77,63.380952380952,1,1,4,78,66.6,100,55.5
ojoCap_1752293958000,"2025-07-12 04:20:08",AIXBT,2,3,1,1,80.41,74.8,60.62,73.1,80.41,15,7,11,46.7,73.3,2.2,0.0005,0.0013,,,,,60.619047619048,1,2,1,50.4,64.4,25,50
ojoCap_1752293958000,"2025-07-12 04:20:08",ONDO,3,1,2,1,68.55,63.3,55.14,62.32,68.55,8,1,5,12.5,62.5,2.88,0.0002,0.0011,,,,,55.142857142857,1,5,4,35.7,55.4,0,50
ojoCap_1752293958000,"2025-07-12 04:20:08",ARB,4,4,0,0,63.59,58.5,52.86,57.82,63.59,14,1,8,7.1,57.1,3.14,0.0002,0.0008,,,,-0.02,52.857142857143,1,4,0,42.1,38.1,50,50
